objectid,title,description,orthography,orthography_tone,ipa,part_of_speech,semantic_domain,tone_melody,syllable_structure,phonation_type,english,spanish,speaker,notes,object_location,format,display_template
anima-01,ánìmà,heart,anima,ánìmà,[ánìmà],noun,body parts and the body,HLL,VCVCV,modal,heart,corazón,,,,,
antsivi-01,ansiví,"sky, heaven",antsivi,ansiví,[ansiβí],noun,landscape and environment,MMH,VCVCV,modal,"sky, heaven",cielo,NGC,,objects/cielo.wav,audio/wav,audio
apio-01,ápīō,celery,apio,ápīō,[ápīō],noun,"food, drink, and cooking",HMM,VCVV,modal,celery,apio,NGC,,objects/apio.wav,audio/wav,audio
asin-01,asǐn,delicious,asin,asǐn,[aʰsǐn],adjective,descriptions,MR,VCV,pre-aspirated,delicious,sabroso,,,,,
atu-01,atu,bitter,atu,atu,[aʰtu],adjective,descriptions,HL,VhCV,pre-aspirated,bitter,amargo,NGC,,objects/amargo_2.wav,audio/wav,audio
burru-01,búrrù,donkey,burru,búrrù,[buru],noun,wild animals,HL,CVCV,modal,donkey,burro,,,objects/burro.wav,audio/wav,audio
chi-01,chi,because,chi,chi,[tʃi],subordinator,other,M,CV,modal,because,porque,JGO,,,,
chikaa-01,chikàà,to throw,chikaa,chikàà,[͡tʃikà],verb (potential),Actions and activities,LL,CVCVV,modal,to throw,echar ,JGO,,,,
chininu-01,chínìnù,behind,chininu,chínìnù,[t͡ʃínĩ̀nũ̀],adverb,descriptions,HLL,CVCVCV,modal,behind,atrás,JGO,,,,
chintsiee-01,chintsieé,to help,chintsiee,chintsieé,[t͡ʃiⁿt͡sʲeé],verb (potential),Actions and activities,MMH,CVCV,modal,to help,ayudar ,JGO,,,,
fresa-01,frésà,strawberry,fresa,frésà,[frésà],noun,"food, drink, and cooking",ML,CCVCV,modal,strawberry,fresa,NGC,loan word,objects/fresa.wav,audio/wav,audio
i-i-01,í'i,raw,i'i,í'i,[íˀi],adjective,"food, drink, and cooking",HM,V?V,glottalized,raw,crudo,NGC,,objects/crudo.wav,audio/wav,audio
i-in-01,í'in,mute,i'in,í'in,[ĩ́ˀĩ],adjective,descriptions,HM,V?V,glottalized,mute,mudo,NGC,,objects/mudo.wav,audio/wav,audio
iin-01,í’ìn,temazcal (a type of sweat lodge),i’in,í’ìn,[ĩ́ˀĩ̀] ,noun,directions and locations,HL,V?V,glottalized,temazcal (a type of sweat lodge),temazcal,JGO,,objects/Temazcal.wav,audio/wav,audio
i-ma-01,ì'mà,smoke,i'ma,ì'mà,[ìˀmà],noun,weather,LL,V?CV,glottalized,smoke,humo,NGC,,objects/humo.wav,audio/wav,audio
i-na-01,í'na,ghost,i'na,í'na,[íˀna],noun,other,HM,V?CV,glottalized,ghost,fantasma,RDC,BE: bad recording,objects/fantasma.wav,audio/wav,audio
i-ni-01,i'ní,hot,i'ni,i'ní,[iˀní],adjective,weather,MH,VCV,glottalized,hot,caluroso,,,objects/coloroso.wav,audio/wav,audio
i-nu-01,i'ñǔ,two days from now,i'ñu,i'ñǔ,[iˀɲũ̌],adverb,times and seasons,MR,V?CV,glottalized,two days from now,pasado pasado mañana,RDC,,objects/pasado_pasado_manana.wav,audio/wav,audio
itsia-01,itsiâ,grass,itsia,itsiâ,[iʰtsʲâ],noun,plants and trees,MF,V?CV,glottalized,grass,zacate,,BE: I also have different words for zacate: ntio'o and ko'o (not sure about tones),,,
i-vi-01,ì'vì,pain,i'vi,ì'vì,[ìˀβì],noun,body parts and the body,LL,V?CV,glottalized,pain,dolor,NGC,,objects/dolor.wav,audio/wav,audio
i-vi-02,ǐ'vi,easy,i'vi,ǐ'vi,[ǐˀβi],adjective,descriptions,RM,V?CV,glottalized,easy,facil,NGC,,objects/facil.wav,audio/wav,audio
ichi-01,íchǐ,road,ichi,íchǐ,[íʰtʃǐ],noun,landscape and environment,HR,VCV,modal,road,camino,JC,,objects/calle.wav,audio/wav,audio
laso-nuju-01,lásò ñùjǔ,palm rope,laso ñuju,lásò ñùjǔ,[láʰsò ɲùʰǔ],noun,clothing and cloth objects,HLM,VCVCVCV,modal,palm rope,laso de palma,NGC,,objects/laso_de_palma.wav,audio/wav,audio
iin-02,ìín,peel ,iin,ìín,[ìĩ́],verb (completive),Actions and activities,LH,VV,modal,peel ,pelar ,,,,,
iin-03,íín,peel ,iin,íín,[íĩ́],verb (continuative),Actions and activities,HH,VV,modal,peel ,pelar ,,,,,
iin-04,iín,peel ,iin,iín,[iĩ́],verb (potential),Actions and activities,MH,VV,modal,peel ,pelar ,,,,,
